run,time
QD_t6_q1024_e4_p90,3726
MT_t8_q128_e0_p50,5256
MT_t6_q256_e0_p80,4683
MT_t1_q1024_e0_p50,375
MT_t8_q1024_e0_p50,5188
QD_t2_q2048_e8_p50,750
MT_t4_q256_e0_p60,1891
QD_t6_q256_e16_p90,1622
QD_t4_q256_e8_p70,1466
QD_t2_q128_e4_p50,987
QD_t4_q1024_e2_p90,1656
QD_t1_q256_e4_p60,519
QD_t4_q2048_e4_p70,2270
QD_t6_q2048_e16_p50,3605
QD_t2_q1024_e0_p80,844
QD_t2_q128_e8_p80,787
QD_t6_q512_e0_p50,3489
QD_t8_q256_e0_p90,3554
MT_t6_q128_e0_p60,4516
MT_t2_q1024_e0_p90,954
QD_t2_q512_e16_p90,1194
QD_t6_q128_e0_p90,2758
QD_t1_q512_e16_p80,526
QD_t4_q1024_e8_p80,1738
QD_t2_q512_e8_p90,959
QD_t8_q128_e2_p80,1858
QD_t6_q128_e2_p80,1701
QD_t2_q1024_e2_p70,741
MT_t2_q256_e0_p50,926
QD_t6_q256_e16_p50,2425
QD_t4_q256_e16_p80,1462
QD_t2_q256_e4_p70,969
QD_t2_q256_e8_p80,780
QD_t1_q2048_e8_p90,525
QD_t2_q1024_e2_p90,789
QD_t4_q512_e8_p70,2757
QD_t8_q2048_e2_p70,4105
QD_t4_q1024_e2_p70,1752
QD_t6_q1024_e8_p70,3657
QD_t2_q256_e16_p70,816
QD_t1_q1024_e4_p50,512
QD_t1_q128_e4_p60,525
QD_t1_q2048_e8_p70,517
QD_t2_q256_e4_p90,1034
MT_t8_q512_e0_p50,6094
QD_t2_q1024_e4_p80,777
QD_t8_q128_e8_p70,1998
QD_t4_q512_e2_p90,1648
QD_t4_q1024_e16_p70,2041
QD_t4_q2048_e16_p50,1815
MT_t6_q2048_e0_p90,8161
QD_t2_q256_e2_p80,788
MT_t4_q1024_e0_p60,1835
QD_t6_q2048_e0_p80,3993
QD_t8_q128_e16_p60,2127
QD_t6_q2048_e0_p70,2901
QD_t4_q1024_e0_p80,1982
QD_t4_q256_e4_p90,1470
QD_t2_q2048_e0_p50,799
QD_t8_q128_e0_p50,2457
QD_t4_q1024_e16_p90,1694
QD_t1_q1024_e2_p70,518
QD_t1_q256_e0_p70,527
MT_t4_q2048_e0_p50,1814
QD_t2_q128_e2_p60,1078
MT_t8_q2048_e0_p80,10425
QD_t1_q2048_e0_p80,716
QD_t4_q256_e4_p70,2376
QD_t6_q2048_e8_p90,3312
QD_t1_q512_e2_p60,508
QD_t2_q128_e2_p90,792
QD_t8_q2048_e16_p90,4193
QD_t2_q2048_e4_p80,764
QD_t6_q512_e8_p60,2907
QD_t6_q256_e4_p60,1539
QD_t1_q128_e2_p70,522
MT_t2_q2048_e0_p50,977
QD_t2_q512_e4_p50,760
MT_t4_q256_e0_p50,2253
QD_t1_q512_e16_p60,514
QD_t6_q2048_e8_p60,3684
QD_t4_q128_e8_p50,1777
QD_t1_q256_e2_p50,503
QD_t4_q512_e4_p80,1666
QD_t2_q1024_e16_p60,745
QD_t4_q2048_e8_p70,2628
QD_t6_q128_e8_p80,1408
QD_t4_q1024_e8_p60,1606
QD_t2_q128_e16_p60,781
QD_t8_q256_e8_p50,3432
QD_t8_q256_e16_p50,2270
QD_t8_q1024_e8_p80,4093
QD_t8_q1024_e4_p70,3742
MT_t4_q128_e0_p50,1741
QD_t1_q1024_e0_p50,504
QD_t4_q256_e16_p50,1520
QD_t6_q512_e16_p50,2965
QD_t4_q2048_e2_p90,2295
MT_t6_q1024_e0_p50,3071
QD_t1_q1024_e8_p80,515
QD_t4_q256_e0_p60,2491
QD_t8_q256_e2_p50,3638
QD_t8_q1024_e8_p70,3506
MT_t6_q1024_e0_p80,4163
QD_t6_q128_e16_p80,1306
QD_t4_q512_e2_p70,2445
QD_t2_q1024_e16_p80,784
